Country,Population,Yearly Change,Net Change,Density,Land_Area,Net_Migrants,Fertility_Rate,Median_Age,Urban_Pop_Percent,World_Share,Migration_Rate_per_1000,Continent
Kenya,57532493,1.95,1099549,101,569140,27330,3.12,20.0,31.9,0.7,0.47503590710035803,Africa
Myanmar,54850648,0.64,350557,84,653290,39661,2.08,30.1,34.1,0.67,0.7230725879482772,Asia
Colombia,53425635,1.02,539272,48,1109500,129139,1.62,32.5,80.5,0.65,2.417172954518931,South America
South Korea,51667029,0.1,50561,531,97230,65731,0.75,45.6,82.4,0.63,1.2722039813824015,Asia
Sudan,51662147,2.4,1213184,29,1765048,291469,4.19,18.5,35.3,0.63,5.641829016513774,Africa
Uganda,51384894,2.74,1369802,257,199810,119059,4.06,16.9,30.0,0.62,2.31700390390997,Africa
Spain,47889958,0.04,20568,96,498800,96630,1.23,45.9,79.3,0.58,2.017750777730897,Europe
Algeria,47435312,1.33,621004,20,2381740,27531,2.67,28.6,74.4,0.58,0.5803904062020294,Africa
Iraq,47020774,2.13,978759,108,434320,1064,3.17,20.8,72.4,0.57,0.022628296165435303,Other
Argentina,45851378,0.34,155219,17,2736690,2859,1.5,32.9,96.0,0.56,0.062353633079468195,South America
Afghanistan,43844111,2.81,1196619,67,652860,74404,4.66,17.3,26.7,0.53,1.6970123992250634,Asia
Yemen,41773878,2.93,1190714,79,527970,16291,4.41,18.4,33.0,0.51,0.38998055196120407,Asia
Canada,40126723,0.97,384293,4,9093510,326204,1.33,40.6,80.2,0.49,8.12934562336426,North America
Angola,39040039,3.05,1154190,31,1246700,3524,4.95,16.6,68.8,0.47,0.09026630326880565,Other
Ukraine,38980376,2.96,1120155,67,579320,1702358,1.0,41.8,76.8,0.47,43.67218007337846,Europe
Morocco,38430770,0.92,349597,86,446300,56254,2.18,29.8,67.3,0.47,1.4637749907170738,Other
Poland,38140910,1.03,398291,125,306230,330820,1.31,42.5,59.2,0.46,8.673626297851834,Europe
Uzbekistan,37053428,1.9,691569,87,425400,6987,3.45,27.0,48.1,0.45,0.18856554918481497,Asia
Malaysia,35977838,1.18,420165,110,328550,166615,1.53,31.0,77.4,0.44,4.631045367428693,Asia
Mozambique,35631653,2.89,999887,45,786380,65573,4.62,16.5,41.6,0.43,1.8403019360342334,Other
Ghana,35064272,1.85,636858,154,227540,17079,3.3,21.3,58.6,0.43,0.4870769882232262,Other
Peru,34576665,1.05,358817,27,1280000,11931,1.94,30.2,80.6,0.42,0.3450593051701198,South America
Saudi Arabia,34566328,1.78,603571,16,2149690,119738,2.29,29.6,92.1,0.42,3.4640069376185982,Other
Madagascar,32740678,2.43,775722,56,581795,2227,3.85,19.2,40.3,0.4,0.06801936111402457,Other
C̫te d'Ivoire,32711547,2.43,777317,103,318000,11305,4.17,18.3,49.0,0.4,0.34559661761028915,Other
Cameroon,29879337,2.59,755593,63,472710,15379,4.18,18.0,59.4,0.36,0.5147035223706603,Other
Nepal,29618118,0.11,32936,207,143350,364699,1.94,25.3,24.5,0.36,12.313375211753833,Other
Venezuela,28516896,0.39,111353,32,882050,100467,2.06,29.4,,0.35,3.5230692709332745,Other
Niger,27917831,3.28,885419,22,1266700,7704,5.79,15.6,18.2,0.34,0.2759526698187979,Other
Australia,26974026,0.98,260821,4,7682300,137109,1.64,38.3,86.5,0.33,5.083000958032739,Oceania
North Korea,26571036,0.27,72213,221,120410,2787,1.77,36.5,63.3,0.32,0.10488864641935677,Other
Syria,25620427,3.84,947667,140,183630,421693,2.66,23.3,53.6,0.31,16.459249488698998,Other
Mali,25198821,2.94,720226,21,1220190,48019,5.42,15.7,44.4,0.31,1.9056050281082595,Other
Burkina Faso,24074580,2.23,525799,88,273600,27130,4.0,17.7,33.7,0.29,1.1269147789909524,Other
Sri Lanka,23229470,0.54,125905,370,62710,30724,1.94,33.3,18.1,0.28,1.3226302623348705,Other
Taiwan,23112793,0.44,101169,653,35410,20947,0.86,44.8,84.0,0.28,0.9062946222033832,Other
Malawi,22216120,2.59,560834,236,94280,5628,3.53,18.1,19.8,0.27,0.2533295642983563,Other
Zambia,21913874,2.81,598918,29,743390,6562,3.97,17.9,46.8,0.27,0.29944500000319435,Other
Chad,21003705,3.47,704582,17,1259200,123104,5.94,15.8,22.4,0.26,5.8610611794442935,Other
Kazakhstan,20843754,1.22,251183,8,2699700,8834,2.95,29.7,55.1,0.25,0.4238200086222472,Other
Chile,19859921,0.48,95150,27,743532,51712,1.13,36.9,84.8,0.24,2.603837145172934,South America
Somalia,19654739,3.4,645588,31,627340,12077,5.91,15.6,46.6,0.24,0.6144574089739884,Other
Senegal,18931966,2.32,429982,98,192530,12636,3.71,19.6,52.3,0.23,0.6674425677713556,Other
Romania,18908650,0.56,106438,82,230170,29041,1.71,43.2,55.2,0.23,1.5358579274564814,Europe
Guatemala,18687881,1.53,281522,174,107160,7959,2.26,23.4,56.6,0.23,0.42589098250358076,Other
Netherlands,18346819,0.65,118077,544,33720,104681,1.44,41.5,88.9,0.22,5.705675735940928,Europe
Ecuador,18289896,0.85,154418,74,248360,17219,1.79,29.3,66.0,0.22,0.9414487649355687,Other
Cambodia,17847982,1.19,209181,101,176520,31469,2.51,26.2,26.5,0.22,1.7631685195558804,Other
Zimbabwe,16950795,1.9,316422,44,386850,54555,3.62,18.1,37.9,0.21,3.2184331177387255,Other
Guinea,15099727,2.34,344942,61,245720,16282,4.04,18.3,40.3,0.18,1.0782976407454254,Other
Benin,14814460,2.43,351736,131,112760,7847,4.42,18.0,47.8,0.18,0.5296851859602038,Other
Rwanda,14569341,2.19,312774,591,24670,6282,3.59,19.9,18.3,0.18,0.43117941985159114,Other
Burundi,14390003,2.44,342217,560,25680,34727,4.67,16.4,14.9,0.17,2.4132726032093252,Other
Bolivia,12581843,1.36,168528,12,1083300,3179,2.5,25.2,70.6,0.15,0.25266568657707783,Other
Tunisia,12348573,0.58,71464,79,155360,14523,1.8,32.9,71.7,0.15,1.1760873098454372,Other
South Sudan,12188788,2.05,245380,20,610952,6145,3.71,18.7,27.7,0.15,0.5041518484036313,Other
Haiti,11906095,1.13,133538,432,27560,32052,2.59,24.1,61.7,0.14,2.692066542388583,Other
Belgium,11758603,0.17,19840,388,30280,31989,1.39,41.9,98.8,0.14,2.720476233443718,Europe
Jordan,11520684,0.28,32192,130,88780,303267,2.57,24.7,85.1,0.14,26.32369744713074,Other
Dominican Republic,11520487,0.81,92930,238,48320,35306,2.19,28.3,86.4,0.14,3.0646273894497686,Other
United Arab Emirates,11346000,2.89,318871,136,83600,158634,1.21,31.6,81.1,0.14,13.981491274457959,Other
Honduras,11005850,1.66,180147,98,111890,4778,2.45,24.2,58.3,0.13,0.43413275667031626,Other
Cuba,10937203,0.39,42580,103,106440,22244,1.45,42.2,81.9,0.13,2.0337923690362154,Other
Tajikistan,10786734,1.85,195807,77,139960,21606,2.99,22.2,27.7,0.13,2.003015926785624,Other
Papua New Guinea,10762817,1.76,186315,24,452860,284,3.03,22.8,12.6,0.13,0.026387143811884936,Oceania
Sweden,10656633,0.47,49634,26,410340,47079,1.44,40.3,87.4,0.13,4.4178118923678795,Other
Czech Republic (Czechia),10609239,1.18,126620,137,77240,112188,1.47,43.8,75.0,0.13,10.574556761328498,Other
Portugal,10411834,0.13,13458,114,91590,16472,1.52,46.9,66.5,0.13,1.5820459680782464,Other
Azerbaijan,10397713,0.59,61136,126,82658,8731,1.67,33.6,58.7,0.13,0.839703884883147,Other
Greece,9938844,1.08,108973,77,128900,16636,1.34,46.8,89.5,0.12,1.6738365145886183,Other
Togo,9721608,2.17,206372,179,54390,15010,4.07,19.1,44.2,0.12,1.5439832587366205,Other
Hungary,9632287,0.45,43848,106,90530,16331,1.5,43.9,72.0,0.12,1.6954436677395515,Other
Israel,9517181,1.39,130160,440,21640,11466,2.75,29.2,91.4,0.12,1.2047685128611088,Other
Austria,9113574,0.08,7239,111,82409,11254,1.33,43.6,58.6,0.11,1.2348613178540055,Other
Belarus,8997603,0.65,59093,44,202910,3020,1.23,41.3,84.4,0.11,0.33564494899363756,Other
Switzerland,8967407,0.51,45426,227,39516,37253,1.44,42.9,74.4,0.11,4.154266668168401,Other
Sierra Leone,8819794,2.06,177772,122,72180,11309,3.61,19.7,45.5,0.11,1.2822294942489585,Other
Laos,7873046,1.33,103227,34,230800,10645,2.36,24.9,38.3,0.096,1.3520815196557978,Other
Turkmenistan,7618847,1.66,124349,16,469930,13268,2.63,26.9,46.5,0.093,1.7414708551044535,Other
Libya,7458555,1.05,77532,4,1759540,172,2.25,27.7,77.5,0.091,0.02306076713250757,Other
Hong Kong,7396076,0.25,18833,7044,1050,17863,0.73,47.4,,0.09,2.415199627478138,Other
Kyrgyzstan,7295034,1.52,109025,38,191800,1815,2.75,25.4,35.3,0.089,0.24879938873485716,Other
Paraguay,7013078,1.21,83925,18,397300,12423,2.4,27.0,68.0,0.085,1.7714047954407466,Other
Nicaragua,7007502,1.32,91362,58,120340,8371,2.18,26.0,58.1,0.085,1.194576897730461,Other
Bulgaria,6714560,0.64,43129,62,108560,2961,1.74,44.8,77.1,0.082,0.4409819854167659,Other
Serbia,6689039,0.7,47177,76,87460,13086,1.5,44.4,73.6,0.081,1.956334833748166,Other
Congo,6484437,2.39,151476,19,341500,2999,4.05,18.6,69.8,0.079,0.462491963450335,Other
El Salvador,6365503,0.43,27310,307,20720,23934,1.75,27.9,79.9,0.077,3.7599542408510374,Other
Denmark,6002507,0.42,25095,141,42430,22103,1.52,41.3,87.4,0.073,3.6822947478445256,Other
Singapore,5870750,0.66,38363,8387,700,16892,0.96,36.2,,0.071,2.877315504833284,Other
Lebanon,5849421,0.75,43459,572,10230,10230,2.21,28.8,86.0,0.071,1.7488910440879533,Other
Liberia,5731206,2.11,118389,60,96320,9870,3.79,18.8,55.0,0.07,1.7221506258892108,Other
Finland,5623329,0.11,6019,19,303890,18246,1.3,43.2,86.7,0.068,3.2446972247222243,Other
Norway,5623071,0.83,46411,15,365268,29798,1.42,39.8,85.9,0.068,5.299239508090864,Other
State of Palestine,5589623,1.71,94180,929,6020,23156,3.19,20.1,84.2,0.068,4.142676527558299,Other
Central African Republic,5513282,3.43,182592,9,622980,14693,5.81,14.5,44.5,0.067,2.665018767405694,Other
Oman,5494691,4.04,213153,18,309500,113734,2.48,29.7,90.8,0.067,20.698889164104042,Other
Slovakia,5474881,0.58,31879,114,48088,31377,1.57,42.3,54.0,0.067,5.731083470124739,Other
Mauritania,5315065,2.82,145670,5,1030700,5044,4.56,17.4,60.3,0.065,0.9490006236988635,Other
Ireland,5308039,1.01,53022,77,68890,35417,1.6,39.0,62.1,0.064,6.6723322869330834,Other
New Zealand,5251899,0.73,37955,20,263310,17403,1.65,37.7,83.6,0.064,3.313658545223356,Oceania
Costa Rica,5152950,0.45,23040,101,51060,1000,1.31,35.2,85.2,0.063,0.1940635946399635,Other
Kuwait,5026078,1.86,91571,282,17820,42775,1.5,34.8,91.6,0.061,8.51061205178272,Other
Panama,4571189,1.23,55612,61,74340,6151,2.09,30.3,70.7,0.056,1.345601767942651,Other
Croatia,3848160,0.7,27165,69,55960,3481,1.47,45.3,61.7,0.047,0.9045881668121908,Other
Georgia,3806671,0.03,999,55,69490,1283,1.79,37.3,62.0,0.046,0.3370398965395223,Other
Eritrea,3607003,2.02,71400,36,101000,6698,3.61,19.2,74.8,0.044,1.856943285048557,Other
Mongolia,3517100,1.2,41560,2,1553560,79,2.58,26.9,67.2,0.043,0.022461687185465297,Other
Uruguay,3384688,0.06,1900,19,175020,1338,1.39,36.4,,0.041,0.39530970062824106,Other
Puerto Rico,3235289,0.21,6915,365,8870,5495,0.94,45.8,,0.039,1.6984572321050764,Other
Bosnia and Herzegovina,3140095,0.76,24158,62,51000,6994,1.5,45.7,56.3,0.038,2.227321147927053,Other
Qatar,3115889,2.21,67466,268,11610,36288,1.7,33.5,96.6,0.038,11.646114479687819,Other
Namibia,3092816,2.07,62685,4,823290,1866,3.17,21.3,54.4,0.038,0.6033336609743354,Other
Moldova,2996106,1.28,38855,91,32850,29766,1.72,38.6,57.7,0.036,9.934895494351668,Other
Armenia,2952365,0.72,21475,104,28470,29013,1.71,36.6,63.8,0.036,9.827036968667493,Other
Jamaica,2837077,0.07,2098,262,10830,11053,1.34,32.8,60.2,0.034,3.8959111790057164,Other
Lithuania,2830144,1.01,28966,45,62674,24618,1.22,42.3,68.2,0.034,8.698497320277696,Other
Gambia,2822093,2.25,62105,279,10120,2984,3.8,18.6,61.3,0.034,1.0573712489276577,Other
Albania,2771508,0.73,20257,101,27400,24230,1.33,37.3,70.3,0.034,8.742532945962992,Other
Gabon,2593130,2.13,54178,10,257670,1116,3.54,21.5,83.7,0.032,0.4303679337325934,Other
Botswana,2562122,1.63,40983,5,566730,5665,2.66,23.4,75.6,0.031,2.2110578653163273,Other
Lesotho,2363325,1.11,25902,78,30360,5192,2.64,21.8,32.8,0.029,2.196904784572583,Other
Guinea-Bissau,2249515,2.19,48163,80,28120,1373,3.68,19.4,46.2,0.027,0.6103537873719447,Other
Slovenia,2117072,0.08,1625,105,20140,2711,1.58,44.6,55.7,0.026,1.2805421827883037,Other
Equatorial Guinea,1938431,2.43,45915,69,28050,3812,4.04,20.9,63.6,0.024,1.96653891729961,Other
Latvia,1853559,0.98,18312,30,62200,7330,1.35,43.6,67.5,0.023,3.954554454430639,Other
North Macedonia,1813791,0.51,9218,72,25220,5645,1.47,41.0,69.4,0.022,3.112265966696273,Other
Bahrain,1643332,2.26,36283,2162,760,18128,1.78,33.4,,0.02,11.031246272816448,Other
Trinidad and Tobago,1511155,0.22,3373,295,5130,691,1.52,37.7,49.1,0.018,0.4572661308734048,Other
Timor-Leste,1418517,1.28,17879,95,14870,2550,2.56,21.7,36.0,0.017,1.7976520549277872,Other
Cyprus,1370754,0.92,12472,148,9240,7749,1.37,38.6,61.1,0.017,5.653093115176027,Other
Estonia,1344232,1.2,16314,32,42390,13350,1.38,42.8,66.9,0.016,9.931321379047665,Other
Mauritius,1268280,0.23,2889,625,2030,2784,1.21,37.8,41.5,0.015,2.1950988740656636,Other
Eswatini,1256174,1.07,13352,73,17200,5775,2.68,22.5,31.3,0.015,4.597293050166617,Other
Djibouti,1184076,1.31,15354,51,23180,581,2.58,24.9,71.3,0.014,0.4906779632388461,Other
Fiji,933154,0.47,4370,51,18270,3288,2.25,28.1,60.8,0.011,3.523534164778804,Other
Comoros,882847,1.87,16219,474,1861,2127,3.76,20.6,33.6,0.011,2.409250980067894,Other
R̩union,882405,0.43,3814,353,2500,2585,2.13,38.1,,0.011,2.9294938265309014,Other
Solomon Islands,838645,2.37,19447,30,27990,1631,3.46,20.7,22.8,0.01,1.9448038204484615,Other
Guyana,835986,0.59,4899,4,196850,5092,2.37,26.2,26.6,0.01,6.091011093487212,Other
Bhutan,796682,0.65,5158,21,38117,455,1.44,30.5,50.3,0.0097,0.571118714869923,Other
Macao,722007,0.24,1745,24067,30,328,0.69,39.6,97.1,0.0088,0.45428922434270025,Other
Luxembourg,680453,1.1,7417,263,2590,5237,1.4,39.5,87.2,0.0083,7.696343465309139,Other
Suriname,639850,0.85,5419,4,156000,967,2.21,28.6,62.4,0.0078,1.5112917089942954,Other
Montenegro,632729,0.9,5750,47,13450,9279,1.79,40.0,68.7,0.0077,14.665046173006136,Other
Western Sahara,600904,1.76,10398,2,266000,5030,2.15,32.6,97.0,0.0073,8.37072144635416,Other
Malta,545405,1.07,5798,1704,320,5161,1.11,41.1,76.5,0.0066,9.462692861268232,Other
Maldives,529676,0.36,1877,1766,300,2283,1.55,32.7,39.6,0.0064,4.310182073569503,Other
Cabo Verde,527326,0.47,2449,131,4030,1284,1.5,29.0,78.6,0.0064,2.4349264022634953,Other
Brunei,466330,0.78,3609,88,5270,0,1.71,32.7,80.1,0.0057,0.0,Other
Belize,422924,1.4,5852,19,22810,360,2.01,26.9,48.6,0.0051,0.8512167670787186,Other
Bahamas,403033,0.44,1750,40,10010,935,1.36,35.3,88.4,0.0049,2.3199092878250664,Other
Iceland,398266,1.24,4870,4,100250,2709,1.5,36.2,84.0,0.0048,6.801986611962859,Other
Guadeloupe,373791,0.35,1315,221,1690,1587,2.05,47.2,,0.0045,4.245688098429336,Other
Martinique,340439,0.8,2756,321,1060,2491,1.97,49.7,,0.0041,7.31702302027676,Other
Mayotte,337011,3.22,10506,899,375,44,4.5,17.1,41.4,0.0041,0.13055953663233544,Other
Vanuatu,335169,2.26,7392,27,12190,52,3.53,20.3,25.4,0.0041,0.15514561310861086,Other
French Guiana,313666,1.67,5144,4,82200,909,3.29,25.0,94.5,0.0038,2.8979870307907136,Other
New Caledonia,295333,0.92,2694,16,18280,440,1.95,34.5,75.7,0.0036,1.4898436679951106,Other
Barbados,282623,0.06,156,657,430,87,1.71,39.4,32.5,0.0034,0.307830572883311,Other
French Polynesia,282465,0.23,658,77,3660,1199,1.48,36.1,65.9,0.0034,4.2447736887756005,Other
Sao Tome & Principe,240254,2.0,4718,250,960,650,3.53,19.5,78.2,0.0029,2.705470044203218,Other
Samoa,219306,0.59,1287,77,2830,2815,3.75,19.8,16.3,0.0027,12.835946120945163,Other
Cura̤ao,185487,0.0,5,418,444,470,1.07,38.7,80.8,0.0023,2.5338702981880132,Other
Saint Lucia,180149,0.23,405,295,610,23,1.38,34.6,19.9,0.0022,0.12767209365580712,Other
Guam,168999,0.73,1222,313,540,493,2.71,31.5,98.8,0.0021,2.9171770247161226,Other
Kiribati,136488,1.46,1970,169,810,462,3.09,22.9,57.3,0.0017,3.3849129593810448,Other
Seychelles,132779,1.81,2361,289,460,1590,2.08,34.3,43.8,0.0016,11.974785169341537,Other
Grenada,117303,0.08,96,345,340,185,1.46,34.4,35.5,0.0014,1.5771122648184615,Other
Micronesia,113683,0.46,523,162,700,1125,2.71,23.3,23.5,0.0014,9.895938706754748,Other
Aruba,108147,0.07,81,601,180,111,1.6,41.5,44.7,0.0013,1.026380759521762,Other
Tonga,103742,0.42,433,144,720,2150,3.07,20.8,26.0,0.0013,20.72448959919801,Other
St. Vincent & Grenadines,99924,0.69,692,256,390,714,1.75,34.4,61.6,0.0012,7.145430527200673,Other
Antigua and Barbuda,94209,0.47,437,214,440,12,1.58,36.3,28.5,0.0011,0.12737636531541574,Other
U.S. Virgin Islands,84138,0.9,767,240,350,357,2.07,44.8,,0.001,4.243029308992369,Other
Isle of Man,84118,0.05,42,148,570,166,1.53,46.1,56.7,0.001,1.973418293349818,Other
Andorra,82904,1.18,966,176,470,843,1.1,43.9,82.3,0.001,10.16838753256779,Other
Cayman Islands,75844,1.86,1387,316,240,888,1.51,38.7,89.1,0.00092,11.708243236116237,Other
Dominica,65871,0.5,334,88,750,242,1.47,36.3,84.5,0.0008,3.6738473683411517,Other
Bermuda,64555,0.13,81,1291,50,2,1.41,46.0,93.0,0.00078,0.030981333746417785,Other
Faeroe Islands,56002,1.09,602,40,1396,386,2.2,37.1,39.5,0.00068,6.89261097817935,Other
Greenland,55745,0.17,95,0,410450,265,1.91,35.1,90.7,0.00068,4.753789577540587,Other
Saint Kitts & Nevis,46922,0.17,79,180,260,18,1.51,36.2,39.4,0.00057,0.3836153616640382,Other
Turks and Caicos,46855,0.69,320,49,950,177,1.44,39.2,79.4,0.00057,3.7776117810265712,Other
American Samoa,46029,1.57,736,230,200,1051,2.25,29.0,,0.00056,22.83343109778618,Other
Sint Maarten,43923,1.32,573,1292,34,530,1.43,41.8,99.8,0.00053,12.066571044782915,Other
Northern Mariana Islands,43541,1.66,737,95,460,963,2.28,38.0,,0.00053,22.11708504627822,Other
Liechtenstein,40128,0.65,258,251,160,194,1.54,44.5,14.7,0.00049,4.834529505582138,Other
Gibraltar,40126,2.03,797,4013,10,549,1.88,38.8,88.5,0.00049,13.681902008672681,Other
British Virgin Islands,39732,0.66,261,265,150,153,1.06,38.6,43.4,0.00048,3.850800362428269,Other
Monaco,38341,0.75,290,25732,1,100,2.09,53.6,,0.00047,2.608174017370439,Other
Marshall Islands,36282,3.37,1266,202,180,1698,2.82,20.4,,0.00044,46.80006614850339,Other
San Marino,33572,0.03,9,560,60,122,1.16,48.6,,0.00041,3.6339806982008818,Other
Caribbean Netherlands,31338,2.16,663,96,328,600,1.45,39.6,65.6,0.00038,19.146084625694044,Other
Palau,17663,0.18,32,38,460,16,1.86,38.5,,0.00021,0.9058483836267905,Other
Anguilla,14728,0.89,130,164,90,70,1.35,38.7,,0.00018,4.752851711026616,Other
Cook Islands,13263,3.39,466,55,240,460,2.0,37.1,,0.00016,34.68295257483224,Other
Nauru,12025,0.65,78,601,20,122,3.25,20.2,94.2,0.00015,10.145530145530145,Other
Saint Barthelemy,11414,1.39,156,544,21,158,0.83,39.0,,0.00014,13.842649377956896,Other
Wallis & Futuna,11194,0.74,83,80,140,83,1.4,38.2,,0.00014,7.414686439163837,Other
Tuvalu,9492,1.6,154,316,30,255,3.14,24.2,86.0,0.00012,26.864728192161824,Other
Saint Pierre & Miquelon,5574,0.96,54,24,230,8,1.28,47.2,,6.8e-05,1.4352350197344816,Other
Saint Helena,5197,0.76,40,13,390,1,1.64,50.9,33.4,6.3e-05,0.19241870309794112,Other
Montserrat,4359,0.68,30,44,100,9,1.45,41.6,11.5,5.3e-05,2.064693737095664,Other
Falkland Islands,3469,0.03,1,0,12170,17,1.7,42.8,68.0,4.2e-05,4.900547708273278,Other
Tokelau,2608,4.07,102,261,10,53,2.57,27.3,,3.2e-05,20.322085889570552,Other
Niue,1821,0.11,2,7,260,3,2.46,35.7,44.5,2.2e-05,1.6474464579901154,Other
Holy See,501,1.01,5,1253,0,13,1.0,57.4,,6.1e-06,25.948103792415168,Other
